fra;jour;pop;P;tx_std
FR;2020-05-13;67114995;888;1.32310223669092
FR;2020-05-14;67114995;961;1.43187077641889
FR;2020-05-15;67114995;1007;1.50040985624748
FR;2020-05-16;67114995;291;0.433584178915606
FR;2020-05-17;67114995;140;0.208597199478298
FR;2020-05-18;67114995;1117;1.66430765583757
FR;2020-05-19;67114995;1048;1.56149903609469
FR;2020-05-20;67114995;1053;1.56894893607606
FR;2020-05-21;67114995;197;0.293526059265891
FR;2020-05-22;67114995;817;1.2173136569555
FR;2020-05-23;67114995;259;0.385904819034852
FR;2020-05-24;67114995;136;0.202637279493204
FR;2020-05-25;67114995;712;1.06086575734677
FR;2020-05-26;67114995;758;1.12940483717536
FR;2020-05-27;67114995;727;1.08321545729088
FR;2020-05-28;67114995;623;0.928257537678428
FR;2020-05-29;67114995;566;0.843328677890835
FR;2020-05-30;67114995;364;0.542352718643576
FR;2020-05-31;67114995;184;0.274156319314335
FR;2020-06-01;67114995;172;0.256276559359052
FR;2020-06-02;67114995;740;1.10258519724243
FR;2020-06-03;67114995;647;0.964017057588993
FR;2020-06-04;67114995;613;0.913357737715692
FR;2020-06-05;67114995;554;0.825448917935552
FR;2020-06-06;67114995;292;0.43507415891188
FR;2020-06-07;67114995;134;0.199657319500657
FR;2020-06-08;67114995;552;0.822468957943005
FR;2020-06-09;67114995;541;0.806079177983996
FR;2020-06-10;67114995;492;0.733070158166592
FR;2020-06-11;67114995;538;0.801609237995175
FR;2020-06-12;67114995;544;0.810549117972817
FR;2020-06-13;67114995;200;0.297995999254712
FR;2020-06-14;67114995;114;0.169857719575186
FR;2020-06-15;67114995;429;0.639201418401357
FR;2020-06-16;67114995;491;0.731580178170318
FR;2020-06-17;67114995;667;0.993816657514465
FR;2020-06-18;67114995;493;0.734560138162865
FR;2020-06-19;67114995;629;0.937197417656069
FR;2020-06-20;67114995;331;0.493183378766548
FR;2020-06-21;67114995;106;0.157937879604997
FR;2020-06-22;67114995;598;0.891008037771589
FR;2020-06-23;67114995;649;0.966997017581541
FR;2020-06-24;67114995;666;0.992326677518191
FR;2020-06-25;67114995;506;0.753929878114421
FR;2020-06-26;67114995;574;0.855248517861024
FR;2020-06-27;67114995;332;0.494673358762822
FR;2020-06-28;67114995;201;0.299485979250986
FR;2020-06-29;67114995;671;0.999776577499559
FR;2020-06-30;67114995;688;1.02510623743621
FR;2020-07-01;67114995;611;0.910377777723145
FR;2020-07-02;67114995;580;0.864188397838665
FR;2020-07-03;67114995;722;1.07576555730951
FR;2020-07-04;67114995;344;0.512553118718105
FR;2020-07-05;67114995;101;0.15048797962363
FR;2020-07-06;67114995;670;0.998286597503285
FR;2020-07-07;67114995;568;0.846308637883382
FR;2020-07-08;67114995;703;1.04745593738031
FR;2020-07-09;67114995;703;1.04745593738031
FR;2020-07-10;67114995;840;1.25158319686979
FR;2020-07-11;67114995;347;0.517023058706925
FR;2020-07-12;67114995;115;0.171347699571459
FR;2020-07-13;67114995;877;1.30671245673191
FR;2020-07-14;67114995;183;0.272666339318061
FR;2020-07-15;67114995;853;1.27095293682135
FR;2020-07-16;67114995;966;1.43932067640026
FR;2020-07-17;67114995;948;1.41250103646734
FR;2020-07-18;67114995;443;0.660061138349187
FR;2020-07-19;67114995;181;0.269686379325514
FR;2020-07-20;67114995;1032;1.53765935615431
FR;2020-07-21;67114995;1095;1.63152809591955
FR;2020-07-22;67114995;1167;1.73880665565124
FR;2020-07-23;67114995;1145;1.70602709573323
FR;2020-07-24;67114995;1267;1.8878046552786
FR;2020-07-25;67114995;624;0.929747517674701
FR;2020-07-26;67114995;257;0.382924859042305
FR;2020-07-27;67114995;1424;2.12173151469355
FR;2020-07-28;67114995;1357;2.02190285494322
FR;2020-07-29;67114995;1461;2.17686077455567
FR;2020-07-30;67114995;1546;2.30350907423892
FR;2020-07-31;67114995;1629;2.42717741392963
FR;2020-08-01;67114995;788;1.17410423706357
FR;2020-08-02;67114995;246;0.366535079083296
FR;2020-08-03;67114995;2011;2.99634977250613
FR;2020-08-04;67114995;2000;2.97995999254712
FR;2020-08-05;67114995;1959;2.9188708126999
FR;2020-08-06;67114995;2152;3.2064369519807
FR;2020-08-07;67114995;2296;3.42099407144409
FR;2020-08-08;67114995;998;1.48700003628101
FR;2020-08-09;67114995;441;0.65708117835664
FR;2020-08-10;67114995;2837;4.22707324942809
FR;2020-08-11;67114995;2687;4.00357624998706
FR;2020-08-12;67114995;2890;4.30604218923059
FR;2020-08-13;67114995;3541;5.27601916680468
FR;2020-08-14;67114995;3874;5.77218250556377
FR;2020-08-15;67114995;768;1.14430463713809
FR;2020-08-16;67114995;688;1.02510623743621
FR;2020-08-17;67114995;5016;7.47373966130818
FR;2020-08-18;67114995;4726;7.04164546238884
FR;2020-08-19;67114995;4845;7.2189530819454
FR;2020-08-20;67114995;5124;7.63465750090572
FR;2020-08-21;67114995;5122;7.63167754091317
FR;2020-08-22;67114995;2236;3.33159527166768
FR;2020-08-23;67114995;1005;1.49742989625493
FR;2020-08-24;67114995;6968;10.3821806140342
FR;2020-08-25;67114995;6776;10.0961044547496
FR;2020-08-26;67114995;6638;9.89048721526389
FR;2020-08-27;67114995;7398;11.0228720124318
FR;2020-08-28;67114995;7583;11.2985183117424
FR;2020-08-29;67114995;3011;4.48632976877969
FR;2020-08-30;67114995;1315;1.95932369509973
FR;2020-08-31;67114995;9447;14.0758410247963
FR;2020-09-01;67114995;8822;13.1446035271253
FR;2020-09-02;67114995;9040;13.469419166313
FR;2020-09-03;67114995;9719;14.4811155837827
FR;2020-09-04;67114995;10036;14.9534392426014
FR;2020-09-05;67114995;4040;6.01951918494518
FR;2020-09-06;67114995;1468;2.18729063452959
FR;2020-09-07;67114995;12188;18.1598761945822
FR;2020-09-08;67114995;11600;17.2837679567733
FR;2020-09-09;67114995;11258;16.7741947980477
FR;2020-09-10;67114995;12014;17.9006196752306
FR;2020-09-11;67114995;11238;16.7443951981223
FR;2020-09-12;67114995;4480;6.67511038330555
FR;2020-09-13;67114995;1561;2.32585877418303
FR;2020-09-14;67114995;14661;21.8445967253667
FR;2020-09-15;67114995;13463;20.0596006898309
FR;2020-09-16;67114995;13391;19.9523221300992
FR;2020-09-17;67114995;13685;20.3903762490037
FR;2020-09-18;67114995;13226;19.7064754307141
FR;2020-09-19;67114995;5192;7.73597614065232
FR;2020-09-20;67114995;1800;2.68196399329241
FR;2020-09-21;67114995;15593;23.2332580818936
FR;2020-09-22;67114995;14172;21.1159965071889
FR;2020-09-23;67114995;12960;19.3101407517053
FR;2020-09-24;67114995;12688;18.9048661927189
FR;2020-09-25;67114995;12246;18.246295034366
FR;2020-09-26;67114995;4784;7.12806430217271
FR;2020-09-27;67114995;1382;2.05915235485006
FR;2020-09-28;67114995;13683;20.3873962890111
FR;2020-09-29;67114995;12752;19.0002249124804
FR;2020-09-30;67114995;13297;19.8122640104495
FR;2020-10-01;67114995;14560;21.694108745743
FR;2020-10-02;67114995;16125;24.0259274399112
FR;2020-10-03;67114995;7181;10.6995463532404
FR;2020-10-04;67114995;1973;2.93973053264773
FR;2020-10-05;67114995;21369;31.8393825403697
FR;2020-10-06;67114995;19578;29.1708283670438
FR;2020-10-07;67114995;20634;30.7442472431086
FR;2020-10-08;67114995;22447;33.4455809763526
FR;2020-10-09;67114995;23986;35.7386601906176
FR;2020-10-10;67114995;11256;16.7712148380552
FR;2020-10-11;67114995;3215;4.7902856880195
FR;2020-10-12;67114995;31585;47.0610181823004
FR;2020-10-13;67114995;28490;42.4495300938337
FR;2020-10-14;67114995;28672;42.7207064531555
FR;2020-10-15;67114995;31908;47.5422817210968
FR;2020-10-16;67114995;33516;49.9381695551046
FR;2020-10-17;67114995;15204;22.6536558633432
FR;2020-10-18;67114995;4699;7.00141600248946
FR;2020-10-19;67114995;45140;67.2576970317885
FR;2020-10-20;67114995;44202;65.8600957952839
FR;2020-10-21;67114995;46622;69.4658473862659
FR;2020-10-22;67114995;50966;75.9383204900783
FR;2020-10-23;67114995;55212;82.2647755542558
FR;2020-10-24;67114995;25080;37.3686983065409
FR;2020-10-25;67114995;7273;10.8366245128976
FR;2020-10-26;67114995;68504;102.069589664724
FR;2020-10-27;67114995;61289;91.3193839916102
FR;2020-10-28;67114995;56762;84.5742445484798
FR;2020-10-29;67114995;55977;83.4046102514051
FR;2020-10-30;67114995;58323;86.9001033226629
FR;2020-10-31;67114995;26190;39.0225761024045
FR;2020-11-01;67114995;6946;10.3494010541161
FR;2020-11-02;67114995;69824;104.036363259805
FR;2020-11-03;67114995;58896;87.7538618605276
FR;2020-11-04;67114995;49956;74.433440693842
FR;2020-11-05;67114995;46734;69.6327251458486
FR;2020-11-06;67114995;44777;66.7168342931412
FR;2020-11-07;67114995;17845;26.5886930335017
FR;2020-11-08;67114995;4372;6.514192543708
FR;2020-11-09;67114995;47452;70.702530783173
FR;2020-11-10;67114995;37253;55.5062248011789
FR;2020-11-11;67114995;5358;7.98331282003373
FR;2020-11-12;67114995;36397;54.2308019243688
FR;2020-11-13;67114995;28822;42.9442034525966
FR;2020-11-14;67114995;10951;16.3167709391918
FR;2020-11-15;67114995;2697;4.01847604994979
FR;2020-11-16;67114995;30258;45.0838147272454
FR;2020-11-17;67114995;21546;32.1031089997101
FR;2020-11-18;67114995;17255;25.7096048357003
FR;2020-11-19;67114995;16749;24.9556749575859
FR;2020-11-20;67114995;16182;24.1108562996988
FR;2020-11-21;67114995;7240;10.7874551730206
FR;2020-11-22;67114995;1833;2.73113333316944
FR;2020-11-23;67114995;17674;26.3339064541389
FR;2020-11-24;67114995;13701;20.414215928944
FR;2020-11-25;67114995;12578;18.7409683931288
FR;2020-11-26;67114995;12481;18.5964403334903
FR;2020-11-27;67114995;12404;18.4817118737772
FR;2020-11-28;67114995;6060;9.02927877741777
FR;2020-11-29;67114995;1605;2.39141789401906
FR;2020-11-30;67114995;15807;23.5521138010962
FR;2020-12-01;67114995;12341;18.387843134012
FR;2020-12-02;67114995;11462;17.0781507172875
FR;2020-12-03;67114995;11984;17.8559202753423
FR;2020-12-04;67114995;12519;18.6530595733487
FR;2020-12-05;67114995;6551;9.76085895558809
FR;2020-12-06;67114995;1754;2.61342491346382
FR;2020-12-07;67114995;16670;24.8379665378803
FR;2020-12-08;67114995;13187;19.6483662108594
FR;2020-12-09;67114995;12688;18.9048661927189
FR;2020-12-10;67114995;13524;20.1504894696036
FR;2020-12-11;67114995;14010;20.8746197477926
FR;2020-12-12;67114995;7824;11.6576034908443
FR;2020-12-13;67114995;2038;3.03657923240552
FR;2020-12-14;67114995;19607;29.2140377869357
FR;2020-12-15;67114995;15887;23.6713122007981
FR;2020-12-16;67114995;15350;22.8711929427991
FR;2020-12-17;67114995;15867;23.6415126008726
FR;2020-12-18;67114995;17490;26.0597501348246
FR;2020-12-19;67114995;10672;15.9010665202314
FR;2020-12-20;67114995;3645;5.43097708641713
FR;2020-12-21;67114995;21267;31.6874045807498
FR;2020-12-22;67114995;18353;27.3456028716087
FR;2020-12-23;67114995;16845;25.0987130372281
FR;2020-12-24;67114995;13047;19.4397690113811
FR;2020-12-25;67114995;1299;1.93548401515935
FR;2020-12-26;67114995;9737;14.5079352237157
FR;2020-12-27;67114995;2140;3.18855719202542
FR;2020-12-28;67114995;22604;33.6795078357676
FR;2020-12-29;67114995;20088;29.9307181651433
FR;2020-12-30;67114995;19784;29.4777642462761
FR;2020-12-31;67114995;16172;24.095956499736
FR;2021-01-01;67114995;1599;2.38247801404142
FR;2021-01-02;67114995;13848;20.6332429883963
FR;2021-01-03;67114995;2947;4.39097104901818
FR;2021-01-04;67114995;28854;42.9918828124773
FR;2021-01-05;67114995;23013;34.2889096542434
FR;2021-01-06;67114995;20384;30.3717522440403
FR;2021-01-07;67114995;19678;29.3198263666711
FR;2021-01-08;67114995;20465;30.4924406237384
FR;2021-01-09;67114995;11543;17.1988390969857
FR;2021-01-10;67114995;2685;4.00059628999451
FR;2021-01-11;67114995;27640;41.1830470970012
FR;2021-01-12;67114995;21609;32.1969777394754
FR;2021-01-13;67114995;20849;31.0645929423075
FR;2021-01-14;67114995;21062;31.3819586815137
FR;2021-01-15;67114995;22244;33.1431150371091
FR;2021-01-16;67114995;12470;18.5800505535313
FR;2021-01-17;67114995;3013;4.48930972877224
FR;2021-01-18;67114995;30672;45.7006664457026
FR;2021-01-19;67114995;24042;35.8220990704089
FR;2021-01-20;67114995;22687;33.8031761754583
FR;2021-01-21;67114995;23123;34.4528074538335
FR;2021-01-22;67114995;24299;36.2050239294512
FR;2021-01-23;67114995;13573;20.223498489421
FR;2021-01-24;67114995;2980;4.44014038889521
FR;2021-01-25;67114995;31666;47.1817065619986
FR;2021-01-26;67114995;23783;35.4361942513741
FR;2021-01-27;67114995;22513;33.5439196561067
FR;2021-01-28;67114995;23881;35.5822122910089
FR;2021-01-29;67114995;24760;36.8919047077334
FR;2021-01-30;67114995;13731;20.4589153288323
FR;2021-01-31;67114995;3404;5.0718919073152
FR;2021-02-01;67114995;31825;47.4186133814061
FR;2021-02-02;67114995;24338;36.2631331493059
FR;2021-02-03;67114995;22069;32.8823685377612
FR;2021-02-04;67114995;22146;32.9970969974743
FR;2021-02-05;67114995;23315;34.7388836131181
FR;2021-02-06;67114995;13033;19.4189092914333
FR;2021-02-07;67114995;2878;4.28816242927531
FR;2021-02-08;67114995;28173;41.977206435015
FR;2021-02-09;67114995;22545;33.5915990159874
FR;2021-02-10;67114995;20883;31.1152522621808
FR;2021-02-11;67114995;20213;30.1169656646775
FR;2021-02-12;67114995;21391;31.8721621002877
FR;2021-02-13;67114995;12127;18.0689874148095
FR;2021-02-14;67114995;2874;4.28220250929021
FR;2021-02-15;67114995;28187;41.9980661549628
FR;2021-02-16;67114995;22468;33.4768705562744
FR;2021-02-17;67114995;22343;33.2906230567402
FR;2021-02-18;67114995;23215;34.5898856134907
FR;2021-02-19;67114995;25211;37.5638856860527
FR;2021-02-20;67114995;14210;21.1726157470473
FR;2021-02-21;67114995;3392;5.05401214735992
FR;2021-02-22;67114995;32835;48.9234931776424
FR;2021-02-23;67114995;25438;37.9021111452068
FR;2021-02-24;67114995;23926;35.6492613908412
FR;2021-02-25;67114995;23689;35.2961361317244
FR;2021-02-26;67114995;23947;35.680550970763
